Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 320 | GridSize: 7
Generation 2 | Revalues: 532 | GridSize: 12
Generation 3 | Revalues: 746 | GridSize: 7
Generation 4 | Revalues: 1002 | GridSize: 8
Generation 5 | Revalues: 1226 | GridSize: 9
Generation 6 | Revalues: 1454 | GridSize: 10
Generation 7 | Revalues: 1678 | GridSize: 19
Generation 8 | Revalues: 1904 | GridSize: 18
Generation 9 | Revalues: 2114 | GridSize: 22
Generation 10 | Revalues: 2328 | GridSize: 30
Generation 11 | Revalues: 2530 | GridSize: 24
Generation 12 | Revalues: 2742 | GridSize: 20
Generation 13 | Revalues: 2936 | GridSize: 18
Generation 14 | Revalues: 3134 | GridSize: 22
Generation 15 | Revalues: 3356 | GridSize: 25
Generation 16 | Revalues: 3562 | GridSize: 20
Generation 17 | Revalues: 3774 | GridSize: 22
Generation 18 | Revalues: 4002 | GridSize: 25
Generation 19 | Revalues: 4240 | GridSize: 24
Generation 20 | Revalues: 4462 | GridSize: 25
Generation 21 | Revalues: 4700 | GridSize: 28
Generation 22 | Revalues: 4894 | GridSize: 35
Generation 23 | Revalues: 5090 | GridSize: 28
Generation 24 | Revalues: 5320 | GridSize: 25
Generation 25 | Revalues: 5522 | GridSize: 22
Generation 26 | Revalues: 5726 | GridSize: 22
Generation 27 | Revalues: 5942 | GridSize: 29
Generation 28 | Revalues: 6144 | GridSize: 31
Generation 29 | Revalues: 6364 | GridSize: 30
Generation 30 | Revalues: 6572 | GridSize: 33
Generation 31 | Revalues: 6784 | GridSize: 29
Generation 32 | Revalues: 7022 | GridSize: 32
Generation 33 | Revalues: 7246 | GridSize: 42
Generation 34 | Revalues: 7462 | GridSize: 38
Generation 35 | Revalues: 7696 | GridSize: 24
Generation 36 | Revalues: 7932 | GridSize: 24
Generation 37 | Revalues: 8144 | GridSize: 33
Generation 38 | Revalues: 8370 | GridSize: 31
Generation 39 | Revalues: 8604 | GridSize: 35
Generation 40 | Revalues: 8826 | GridSize: 28
Generation 41 | Revalues: 9074 | GridSize: 35
Generation 42 | Revalues: 9294 | GridSize: 41
Generation 43 | Revalues: 9518 | GridSize: 42
Generation 44 | Revalues: 9748 | GridSize: 38
Generation 45 | Revalues: 9986 | GridSize: 44
Generation 46 | Revalues: 10188 | GridSize: 49
Generation 47 | Revalues: 10400 | GridSize: 40
Generation 48 | Revalues: 10604 | GridSize: 40
Generation 49 | Revalues: 10820 | GridSize: 35
Generation 50 | Revalues: 11028 | GridSize: 31
Generation 51 | Revalues: 11252 | GridSize: 29
Generation 52 | Revalues: 11500 | GridSize: 34
Generation 53 | Revalues: 11718 | GridSize: 39
Generation 54 | Revalues: 11954 | GridSize: 36
Generation 55 | Revalues: 12174 | GridSize: 31
Generation 56 | Revalues: 12410 | GridSize: 41
Generation 57 | Revalues: 12608 | GridSize: 37
Generation 58 | Revalues: 12842 | GridSize: 36
Generation 59 | Revalues: 13040 | GridSize: 39
Generation 60 | Revalues: 13258 | GridSize: 39
Generation 61 | Revalues: 13476 | GridSize: 43
Generation 62 | Revalues: 13678 | GridSize: 41
Generation 63 | Revalues: 13892 | GridSize: 41
Generation 64 | Revalues: 14106 | GridSize: 43
Generation 65 | Revalues: 14332 | GridSize: 41
Generation 66 | Revalues: 14548 | GridSize: 45
Generation 67 | Revalues: 14772 | GridSize: 37
Generation 68 | Revalues: 14996 | GridSize: 40
Generation 69 | Revalues: 15204 | GridSize: 51
Generation 70 | Revalues: 15438 | GridSize: 50
Generation 71 | Revalues: 15644 | GridSize: 54
Generation 72 | Revalues: 15846 | GridSize: 54
Generation 73 | Revalues: 16072 | GridSize: 52
Generation 74 | Revalues: 16282 | GridSize: 53
Generation 75 | Revalues: 16510 | GridSize: 60
Generation 76 | Revalues: 16718 | GridSize: 55
Generation 77 | Revalues: 16936 | GridSize: 60
Generation 78 | Revalues: 17188 | GridSize: 56
Generation 79 | Revalues: 17396 | GridSize: 60
Generation 80 | Revalues: 17624 | GridSize: 62
Generation 81 | Revalues: 17848 | GridSize: 67
Generation 82 | Revalues: 18050 | GridSize: 66
Generation 83 | Revalues: 18264 | GridSize: 62
Generation 84 | Revalues: 18468 | GridSize: 62
Generation 85 | Revalues: 18670 | GridSize: 64
Generation 86 | Revalues: 18910 | GridSize: 67
Generation 87 | Revalues: 19126 | GridSize: 74
Generation 88 | Revalues: 19358 | GridSize: 70
Generation 89 | Revalues: 19564 | GridSize: 77
Generation 90 | Revalues: 19784 | GridSize: 76
Generation 91 | Revalues: 19994 | GridSize: 55
Generation 92 | Revalues: 20210 | GridSize: 58
Generation 93 | Revalues: 20436 | GridSize: 63
Generation 94 | Revalues: 20674 | GridSize: 65
Generation 95 | Revalues: 20902 | GridSize: 62
