Instance,VBS_Prediction
0,0.7243696878646501
1,0.7884686386219997
10,0.7882450551032504
100,0.7647822585528994
101,0.7845092256172497
102,0.7867063473565501
103,0.7623531771241006
104,0.7461698251578504
105,0.7263407152742503
106,0.7149946076250505
107,0.7168053354195504
108,0.7229414808239502
109,0.7562774109350502
11,0.7744900351684497
110,0.7659819935551494
111,0.7780795408292
112,0.7561326205245997
113,0.7465221544813997
114,0.7437330091545499
115,0.73908096120735
116,0.74481426121325
117,0.7367855746262001
118,0.7342005473795996
119,0.7285146920364994
12,0.7350801464015493
120,0.7432508030736994
121,0.7371560324443992
122,0.7469084096480992
123,0.7462890706273995
124,0.7592231573916497
125,0.7616526686192997
126,0.7786959939616499
127,0.7541012317043
128,0.7603769506537995
129,0.7790909712663995
13,0.7743536213060491
130,0.7736019358153993
131,0.76226613504035
132,0.7455929523812
133,0.7616070494931501
134,0.7476134092089999
135,0.7831693763531
136,0.7961980117375006
137,0.7909190784861501
138,0.78623286534815
139,0.7676336986509504
14,0.769966369257951
140,0.7967135355604499
141,0.8103299159530003
142,0.8181343295280518
143,0.8064863124373001
144,0.8206915497395503
145,0.8049274072003003
146,0.8040611710705998
147,0.7968771502299998
148,0.8076559683307996
149,0.80885817748305
15,0.8101478069172998
150,0.8051990253055499
151,0.8195166000406995
152,0.8125629567515505
153,0.8120714804581499
154,0.8055738661780499
155,0.8075852994021498
156,0.8053173562857997
157,0.8093648783418999
158,0.80810821219495
159,0.8189949435179001
16,0.8111201181771999
160,0.8059262355241998
161,0.8085091732085001
162,0.7987389442908999
163,0.8077724469143
164,0.8211505703591999
