Instance,VBS_Prediction
0,0.7283335848299501
1,0.7893512838136497
10,0.7806931155937002
100,0.7641548611539994
101,0.7884434545793995
102,0.7909575666177001
103,0.7586921331843505
104,0.7417945691505001
105,0.7237903595116001
106,0.7196317069702005
107,0.7217177418739005
108,0.7200052373092505
109,0.7415679061802
11,0.7704031205229002
110,0.7828529745736995
111,0.7696534724768495
112,0.7713032086214497
113,0.7426082537931997
114,0.74442548518685
115,0.7420218871321497
116,0.7367541766970501
117,0.7433850248028
118,0.7340425714428495
119,0.7350854431078503
12,0.7333836668145493
120,0.7328079304371492
121,0.7433332175539494
122,0.7460268632557492
123,0.7455683411544491
124,0.7646005978676996
125,0.7524492045240996
126,0.7742524254192996
127,0.7537218088726497
128,0.7643247858514496
129,0.7800429820960995
13,0.7709445914305494
130,0.7644410768396996
131,0.7626826415696999
132,0.75116132926955
133,0.7494700740028496
134,0.7648245934502996
135,0.7777087255312
136,0.7945148390109005
137,0.7940703483760503
138,0.7866931728575
139,0.7653511151269005
14,0.771981540194701
140,0.7969496535674501
141,0.8129429706412004
142,0.8184842319105017
143,0.8151955519919498
144,0.8175835707584498
145,0.8214197212321003
146,0.8105494050876497
147,0.8099575933799003
148,0.8048902211714498
149,0.8072829572135499
15,0.81844749286935
150,0.8101421079058996
151,0.8097568157213996
152,0.8110022352571501
153,0.8125008621509998
154,0.8051401710448499
155,0.8025357151457999
156,0.8151451514800496
157,0.8138794179213
158,0.8043434795786
159,0.8266016087217498
16,0.8046887395844498
160,0.8018627411390498
161,0.8051465941765997
162,0.8061326921325004
163,0.8152173059570998
164,0.8088532812018999
