Instance,AS_Prediction
0,0.7286226908219998
1,0.7887592675053997
10,0.7791058947470997
100,0.7686652724773001
101,0.7915322750998007
102,0.78671651198
103,0.7551835723678001
104,0.7394519745655004
105,0.727419420357
106,0.73179223017855
107,0.7011228616371004
108,0.7084240200855997
109,0.7615160154286991
11,0.7721975043737997
110,0.7756402613364002
111,0.7826185492126498
112,0.7589966686555504
113,0.7501463977599998
114,0.7416091624670497
115,0.7494434053835497
116,0.7373330124439998
117,0.7437701821020495
118,0.7380934770169999
119,0.7345132186684994
12,0.7260153481564998
120,0.7377126486675
121,0.7400419625644998
122,0.7483402251815003
123,0.7493480413775003
124,0.7608273569220002
125,0.7716450331949999
126,0.7603247579017001
127,0.7593784163895998
128,0.7665633695516004
129,0.7704669776446004
13,0.7743774661541005
130,0.7793200677696003
131,0.7508511989084999
132,0.7454248458496003
133,0.7527377167574996
134,0.7646212233610004
135,0.7831090403869999
136,0.7939509528294999
137,0.8000729698844995
138,0.7816194743274997
139,0.7661262740849994
14,0.7724682121704999
140,0.8016800321755
141,0.813986321537
142,0.8189159312959999
143,0.8087207714151498
144,0.8074563014412998
145,0.80300837662775
146,0.8111224141797502
147,0.8133609938139496
148,0.8109064753224503
149,0.8170145613001497
15,0.8107501256222005
150,0.8142572351109003
151,0.8183541454911003
152,0.8068794897452998
153,0.8169874625487
154,0.8014802779848997
155,0.8167082473727497
156,0.8023077384979002
157,0.81110472990075
158,0.8059952987643503
159,0.8191944430630995
16,0.80279418963555
160,0.8082214750052998
161,0.8092774186700998
162,0.8067495419979
163,0.8227315103609998
164,0.8100289181839999
