Instance,AS_Prediction
0,0.7292284018914996
1,0.7897733101639998
10,0.7839873050279996
100,0.7646009998345003
101,0.7848023863585007
102,0.7981099091920006
103,0.7664242499055005
104,0.7361584940545004
105,0.7361402473070001
106,0.7274754905110002
107,0.7114733189264999
108,0.7150413043209999
109,0.7399363825209996
11,0.7685516446929995
110,0.7816695644775001
111,0.7799723538125001
112,0.7734284096390002
113,0.7505715491545
114,0.7484899451249991
115,0.7509052567819998
116,0.7417327867229995
117,0.7432280805579998
118,0.7352482423794996
119,0.7368321527049997
12,0.7263970064435
120,0.7409760112510001
121,0.7458061587175004
122,0.7454828832335003
123,0.753498426013
124,0.7587360308725001
125,0.7716049795240005
126,0.7539587798064996
127,0.7640051817214999
128,0.7687149846575001
129,0.7647848020470499
13,0.7790923349406998
130,0.7755257084525006
131,0.7585279838058999
132,0.7544759919927999
133,0.7630519681355997
134,0.7512177396909999
135,0.7725487030182501
136,0.7979419314985
137,0.7899612815069996
138,0.7866925449099997
139,0.7703013751959993
14,0.7743917234614994
140,0.7988090406084997
141,0.8115932377655005
142,0.8178403411434999
143,0.8131968443214493
144,0.8064098585514499
145,0.8100724468871501
146,0.8099188011814503
147,0.8066149111257498
148,0.8103423414870001
149,0.8103582122381998
15,0.7988539003785998
150,0.807983100684
151,0.8205838681616
152,0.8003381833995501
153,0.8056249801142499
154,0.8029861955630997
155,0.8084306225794496
156,0.8076788823413997
157,0.8063051005807002
158,0.8013788714598004
159,0.8253882249800998
16,0.8174135079655497
160,0.8128993914759997
161,0.8131126003227497
162,0.8039505374617002
163,0.8082217945242499
164,0.8048602739231002
