Instance,VBS_Prediction
0,0.7291631548992997
1,0.7911310663959005
10,0.7764079375135498
100,0.7599030307427991
101,0.7958891566778997
102,0.7932475244134503
103,0.7614555490178005
104,0.7318176691720498
105,0.7303017350087504
106,0.7280697841159506
107,0.7132006183299506
108,0.7095423458495506
109,0.7476261268139001
11,0.7673590674360998
110,0.7849857212281998
111,0.7667419265901
112,0.7566131708043994
113,0.7547154483083497
114,0.7483031409258001
115,0.7334924751288
116,0.7376643081675002
117,0.7412799096945999
118,0.7425467222577999
119,0.72569160802155
12,0.7283958836515991
120,0.7356182056200494
121,0.737266919535649
122,0.7434242877371492
123,0.7446587796758493
124,0.7510458067512493
125,0.7728687733860496
126,0.7645876392109001
127,0.7623229456915998
128,0.7483018361826497
129,0.7658380951533995
13,0.7674639175913498
130,0.781930065278799
131,0.7599163533402996
132,0.7520255581934998
133,0.7469721448916499
134,0.7598356796068502
135,0.7827314467774003
136,0.7869898796113
137,0.7943340106479002
138,0.7797202652191999
139,0.7692002420029007
14,0.779421811898651
140,0.7957845158614998
141,0.8122117027241005
142,0.8183020611331517
143,0.8138379840631998
144,0.8125306199331997
145,0.8160556786851997
146,0.8081013540904999
147,0.81726158536565
148,0.8134221002727496
149,0.8023776020495502
15,0.8032373618198497
150,0.8088458302037498
151,0.8205760026673002
152,0.8126193507959002
153,0.8067539628608498
154,0.8098063640922999
155,0.8147787077963997
156,0.8044991841988502
157,0.8115115204304
158,0.8104400158871499
159,0.8190063670405995
16,0.8078478568261996
160,0.8026977048626495
161,0.8037630486437002
162,0.8106043541046504
163,0.8132630926019498
164,0.8055417874879501
