Instance,AS_Prediction
0,0.7285038531599999
1,0.7893536246314997
10,0.7838671303354997
100,0.7697106280264999
101,0.7791033661210008
102,0.7955422893530004
103,0.7668728975005007
104,0.746355403025
105,0.7259814603390004
106,0.7156665477610001
107,0.7217273640714998
108,0.7170888041935
109,0.7511053341939998
11,0.7603444235400001
110,0.7835614555559997
111,0.7753362457465003
112,0.7648654348929996
113,0.7624351132139995
114,0.7457919553014999
115,0.7342794574319995
116,0.7436068327924997
117,0.7445653943429995
118,0.7460679567224996
119,0.7330311815634998
12,0.7257892984519999
120,0.7289144022435
121,0.7449246135784999
122,0.7488691277615002
123,0.7498538496330001
124,0.7505847387015002
125,0.7749298918679999
126,0.7696112393639999
127,0.7564178999284998
128,0.7547463198105006
129,0.7728295424325006
13,0.7739478986141006
130,0.7788858426700006
131,0.7641086520510001
132,0.7481374766184997
133,0.7530665919920001
134,0.7549185681764996
135,0.769023103308
136,0.7912835962115001
137,0.7898573310179997
138,0.7927396858754995
139,0.7719315919529995
14,0.775180387362
140,0.7989863837594997
141,0.8132826893220004
142,0.8185770520200001
143,0.8163745873685498
144,0.7972601589567999
145,0.8112975381132996
146,0.8057191919112995
147,0.8086117082873998
148,0.8009073871388498
149,0.8133318803428999
15,0.8219203352469501
150,0.8078439330443997
151,0.8113925410373501
152,0.8146659661580498
153,0.8051887881417998
154,0.8004704024420997
155,0.81684267668115
156,0.7991827812386001
157,0.8110671671794999
158,0.8121274840679996
159,0.8168755592995498
16,0.8089639761023999
160,0.8074053567685001
161,0.7996580777772501
162,0.8094352958742498
163,0.8127369775074001
164,0.8093079106132498
